ID,"Product Name",Description,"Short Description",Instructions,Ingredients,"Brand Description","Product Consistency","Intended Gender","Type of Hair","Is Organic",Quantity,UPC,"Product Tags","Hair Style","Hair Length","Hair Texture","Cemical Treatments","Hair Conditions","Hair Description",Demographic,"Targeted Age Range",Price,"Image Url"
2139,"Monoi Repairing Anti-Breakage Spray","STOP THE NO. 1 CAUSE OF HAIR BREAKAGE
This leave-in conditioner has double the fortifying power. When shaken, it creates the perfect balance that ends shedding, eases detangling, and protects hair around-the-clock.
Did you know that your hair breaks more when its wet and that less breakage means stronger, longer hair? So stop snapping and start growing with this fortifying leave-in conditioner, made with strengthening Monoi Oila repairing Tahitian blend of Tiare Gardenia, Coprah Coconut Oil and Coconut Watera nutrient-rich blend of vitamins and minerals. When shaken, they blend to create the perfect balance to end shedding, ease detangling, and protect around-the-clock. Finally, you can keep hair on your head, and out of your brush.","This leave-in conditioner has double the fortifying power. When shaken, it creates the perfect balance that ends shedding, eases detangling, and protects hair around-the-clock.","Shake well, making sure the two parts have fully combined. Hold 6 to 8 inches away from wet hair and spray all-over to strengthen and detangle. Do not rinse out. ","NO PARABENS, NO PETROLEUM, NO MINERAL OIL, NO ARTIFICIAL COLORS
Water (Aqua), Cyclopentasiloxane, Cyclohexasiloxane, Isododecane, Pentylene Glycol, Agave Americana Leaf Extract, Butylene Glycol, C11-15 Pareth – 7, C12–16 Pareth – 9, Coconut (Cocos Nucifera) Fruit Juice, Cocos Nucifera (Coconut) Oil, Cymbopogon Schoenanthus Extract, Dicetyldimomium Chloride, Disodium EDTA, Gardenia Tahitensis Flower Extract, Glycerin, Hydrolyzed Protein, Hydrolyzed Wheat Starch, Lactic Acid, Methyl Gluceth-20, Panthenol, PEG-8 Dimethicone, Salvia Officinalis (Sage) Leaf Extract, Theobroma Cacao (Cocoa) Extract, Trideceth-12, Trimethylsiloxyamodimethicone, Methylisothiazolinone, Potassium Sorbate, Fragrance (Parfum)","Carol’s Daughters has been known for its natural beauty products for more than 20 years. Each hair, skin and body indulgence collection is infused with rare ingredients that bring out your natural beauty.",Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,500,820645220447,,"Weave,Relaxed Straight Hair , Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b","Colored Hair, Relaxed Straight,Permed Curly ","Split Breakage,Split Breakage","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",24,http://hairlibrary.com/wp-content/uploads/2013/11/monoi-repairing-anti-breakage-spray.jpg
2141,"Black Vanilla (Moisturizing) Leave-in Conditioner","Moisturizing Conditioner Spray To Add Shine &amp; Softness. Aloe Leaf Juice richly moisturizes your hair so its easier to detangle. Pro-vitamin B5 works to fortify your hair so it can hold onto moisture better. Wheat Proteins help to give your hair a bit more strength. Contains the warm and sensual Black Vanilla fragrance for a soothing fragrance experience

Restores natural moisture and adds strength to your hair. The blend of Wheat Protein and Pro-vitamin B5 fortifies your hair so its healthier and wont break when detangling. Made with natural moisturizers instead of silicones so you can use it every day without weighing down your hair.
PLUS, No Parabens, No Petroleum, No Mineral Oil, No Artificial Colors
Detangles and detoxifies damaged tresses
Naturally replenishes lost shine with conditioning Nettles
Restores essential moisture and manageability","Restores natural moisture and adds strength to your hair. The blend of Wheat Protein and Pro-vitamin B5 fortifies your hair so it’s healthier and won’t break when detangling. Made with natural moisturizers instead of silicones so you can use it every day without weighing down your hair.","Hold 6 to 8 inches away from your hair and spray all-over. Use on wet or dry hair to help detangle. Use on dry hair to refresh your style. Do not rinse out. ","Water (Aqua), Polysorbate 80, Glycerin, Panthenol ( Pro-vitamin B5), Sodium Hyaluronate, Sodium PCA, Butylene Glycol, Lavandula Angustifolia (Lavender) Flower/Leaf Stem, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Japanese Honeysuckle) Flower Extract, Salvia Officinalis (Sage) Leaf Extract, Calendula Officinalis Flower Extract, Hydrolyzed Wheat Protein, Hydrolyzed Wheat Starch, Hydrolyzed Corn Starch, Potassium Sorbate, Citric Acid, Caramel, Fragrance (Parfum)","Carol’s Daughters has been known for its natural beauty products for more than 20 years. Each hair, skin and body indulgence collection is infused with rare ingredients that bring out your natural beauty.",Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,500,820645021259,,"Weave,Relaxed Straight Hair ,Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair, Relaxed Straight,Permed Curly ","Split Breakage,Split Breakage,No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",14,http://hairlibrary.com/wp-content/uploads/2013/11/BlackVanilla_MoisturizingLeaveInConditioner8oz.jpg
2143,"Black Vanilla Moisturizing Shampoo","Moisturizing Sulfate-free Shampoo To Add Shine And Softness
Aloe Leaf Juice richly moisturizes your hair
Sweet Clover Extract helps soften hair so its more manageable
Rose Extract helps to add a boost of shine
Contains the warm and sensual Black Vanilla fragrance for a soothing fragrance experience

Gently cleanses and restores your natural moisture without adding weight to your hair. The blend of Aloe Leaf Juice and Sweet Clover Extract hydrates your hair so its more soft and manageable with a lot more natural shine. Perfect for normal-to-dry hair types that no longer want to be dull and dehydrated.
PLUS, No Parabens, No Petroleum, No Mineral Oil, No Artificial Colors
A blend of herbs, flowers and plant elements.
Includes irresistible notes of warm vanilla and fresh coconut
Free of harsh agents like Sodium Lauryl Sulfate (SLS) or Sodium Laureth Sulfate (SLES), believed to irritate skin and strip hair and scalp of necessary oils","Gently cleanses and restores your natural moisture without adding weight to your hair. The blend of Aloe Leaf Juice and Sweet Clover Extract hydrates your hair so it’s more soft and manageable with a lot more natural shine. Perfect for normal-to-dry hair types that no longer want to be dull and dehydrated.","Completely wet your hair so the shampoo can work in easily. Apply the shampoo and take a moment to gently massage into your hair and scalp. Rinse well with warm water until all suds are gone. ","Water (Aqua),Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, PEG-2 Cocamide, Fragrance (Parfum), Aloe Barbadensis Leaf Juice, Calendula Officinalis Flower Extract, Citric Acid, Glycerin, Hydrolyzed Soy Protein, Lavandula Angustifolia (Lavender) Flower Extract, Melilotus Officinalis Extract, PEG-150 Distearate, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocoate, Polyquaternium-10, Polyquaternium-7, Potassium Cocoate, Rosa Canina Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Urtica Dioica (Nettle) Leaf Extract, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, Potassium Sorbate, Caramel","Carol’s Daughters has been known for its natural beauty products for more than 20 years. Each hair, skin and body indulgence collection is infused with rare ingredients that bring out your natural beauty.",Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,500,013684310648,,"Weave,Relaxed Straight Hair ,Braids,Wigs,Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair, Relaxed Straight,Permed Curly ","No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",13,http://hairlibrary.com/wp-content/uploads/2013/11/BlackVanilla_MoisturizingShampoo8oz.jpg
2145,"Monoi Oil Sacred","92% STRONGER HAIR FOR HEAT-STYLED, COLOR-TREATED AND RELAXED HAIR.
This lightweight, silicone-free, miracle oil reverses and prevents damage to even the most distressed hair caused by heat-styling, color-treating and chemical straightening.
Protect your hair from all damage. Its strengthening power comes from Monoi Oil  a sacred Tahitian blend of the Tiare Gardenia Flower and Coprah Coconut Oil. This silicone-free, restorative oil rebuilds your hairs structure from the inside out for true repair that doesnt wash away or weigh hair down like silicones do. Its also blended with Mirabelle Plum Seed Oil to restore health and Kukui and Rose Hip Seed Oils to reduce frizz and boost your hairs natural shine. Take your hair to its maximum strength and length  no matter what you do to it.
Plus, No Silicones, No Parabens, No Petroleum, No Mineral Oil, No Artificial Colors","This lightweight, silicone-free, miracle oil reverses and prevents damage to even the most distressed hair caused by heat-styling, color-treating and chemical straightening.","Use 1-2 pumps on towel-dried hair and style as you normally would. If you desire more frizz control, apply another pump to your dried hair. 
","NO SILICONES, NO PARABENS, NO PETROLEUM, NO MINERAL OIL, NO ARTIFICIAL COLORS
Monoi Oil repairs, conditions and moisturizes hair
Mirabelle Plum Seed Oil deeply moisturizes and adds a lightweight shine
Kukui and Rose Hip Seed Oils lock-in moisture and create a protective shield
Isododecane, Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Ethylene/Propylene/Styrene Copolymer, C12-15 Alkyl Benzoate, Hydrogenated Ethylhexyl Olivate, Cocos Nucifera (Coconut) Oil, Hydrogenated Olive Oil Unsaponifiables, Gardenia Tahitensis Flower Extract, Prunus Insititia Seed Oil, Rosa Moschata Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Jojoba Esters, Fragrance (Parfum), Aleurites Moluccana Seed Oil, Argania Spinosa Kernel Oil, Citrillus Ianatus (Watemelon) Seed Oil, Isohexadecane, Kaempferia Galanga Root Extract, Retinyl Palmitate, Tocopheryl Acetate, Butylene/Ethylene/Styrene Copolymer, BHT, Phenoxyethanol, Alpha-Isomethyl Ionone, Benzyl Benzoate, Benzyl Salicylate, Geraniol, Hydroxycitronellal, Linalool","Carol’s Daughters has been known for its natural beauty products for more than 20 years. Each hair, skin and body indulgence collection is infused with rare ingredients that bring out your natural beauty.",Oil,both,"Naturally Straight,Curly",no,500,820645219144,,"Weave,Relaxed Straight Hair ,Braids,Wigs,Dreds,Permed/Texturized Hair,Naturally Curly Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair, Relaxed Straight,Permed Curly ","Alopecia,Split Breakage,Split Breakage","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",30,http://hairlibrary.com/wp-content/uploads/2013/11/MonoiOil_1.7oz_PumpBottle.jpg
2147,"Hair Milk Original Leave-In Moisturizer","Newer Softer Sent
A rich moisturizing cream that quickly and easily absorbs into your curls, coils, kinks and waves to leave them defined, glossy and frizz-free.
Cocoa &amp; Shea Butters intensely rehydrate your hair
Soybean Oil leaves hair softer and stronger than before
Agave Nectar keeps moisture locked in for better definition and frizz control

Dry hair = frizzy curls! So, protect your hair from frizz situations  breakage, thirst and unmanageability  with the Original Leave-In Moisturizer. It has all the goodies you know and love, like Cocoa and Shea Butters to intensely hydrate your hair, plus Soybean Oil to soften and strengthen it. Weve also added Agave Nectar to ensure that your curls, coils, kinks and waves keep moisture locked in and are extra-healthy. Your hair will never get enough of this deep-moisturizing stuff. Hydrate your curls, coils, kinks and waves to make frizzy, unmanageable hair a thing of the past. Use Hair Milk Original Leave-In Moisturizer if you can never get enough moisture in your hair.","Dry hair = frizzy curls! So, protect your hair from frizz situations – breakage, thirst and unmanageability – with the Original Leave-In Moisturizer. It has all the goodies you know and love, like Cocoa and Shea Butters to intensely hydrate your hair, plus Soybean Oil to soften and strengthen it. We’ve also added Agave Nectar to ensure that your curls, coils, kinks and waves keep moisture locked in and are extra-healthy.","WHICH HAIR MILK LEAVE-IN MOISTURIZER IS RIGHT FOR YOUR HAIR TYPE?
If you find your hair feeling dry all the time, or it dries out as the day goes on, give Hair Milk Original Leave-In Moisturizer a try.
If you worry about products leaving hair greasy, or your roots get weighed down quickly, try the Hair Milk Lite Leave-In Moisturizer instead.
DIRECTIONS:
After co-washing, apply a quarter-size amount into soaking-wet hair, working it in evenly with your fingers. Use your hands to gently squeeze out excess water or use a cotton T-shirt for best results. Add more as necessary and style as desired. 


DON’T SKIP THE MOISTURIZER…EVER
Curls need extreme moisture—much more moisture than straight hair. It’s hard for natural oils, produced by the scalp, to make their way down to the ends of a coil; this is why curly hair is usually more dry, brittle and frizzy. The key is using good moisturizing products that will soak into each strand. Well-moisturized curls have better definition and maintain styles longer, so don’t forget this step.

Applying leave-in moisturizers to wet hair makes it a hundred times easier. When hair is wet, the moisturizer will work in much more quickly and evenly through your curls and prevent it from tangling.

Cream moisturizers are great for curly hair because their nourishing ingredients coat and work to seal-in moisture. Also, they won’t evaporate throughout the day, so you won’t need to rehydrate again and again as the day goes on.

","NO PARABENS, NO PETROLEUM, NO MINERAL OIL, NO ARTIFICIAL COLORS
Cocoa & Shea Butters intensely rehydrate your hair
Soybean Oil leaves hair softer and stronger than before
Agave Nectar keeps moisture locked in for better definition and frizz control
Hair Milk Original Leave-In Moisturizer: 
Water (Aqua), Glycine Soja (Soybean) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Glycerin, Fragrance (Parfum), Agave Tequilana Stem Extract, Ascorbyl Palmitate, Ascorbic Acid, Beeswax, Pentaerythrityl Tetra-di-butly Hydroxyhydrocinnamate, Polysorbate 80, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, Triticum Vulgare (Wheat) Germ Oil, Xantham Gum, Methylisothiazolinone, Phenoxyethanol","Carol’s Daughters has been known for its natural beauty products for more than 20 years. Each hair, skin and body indulgence collection is infused with rare ingredients that bring out your natural beauty.",Liquid,both,"Naturally Straight,Curly",no,500,885688953332,,"Weave,Relaxed Straight Hair ,Braids,Wigs,Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair, Relaxed Straight,Permed Curly ","No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",20,http://hairlibrary.com/wp-content/uploads/2013/11/HairMilkOriginal.jpg
2149,"Monoi Repairing Split End Sealer","93.3% FEWER SPLIT ENDS, INSTANTLY!

A repairing lotion that binds the separated and frayed ends of your hair together so you can skip the trim and keep your length.

Everyone wants stronger, longer hair that looks flawless from root to tip without the hassle of getting regular trims. The secret is, the less trims you need, the longer your hair can grow, and faster! So, stop cutting and start growing by binding the frayed and separated ends of your hair back together, making them look freshly cut, instantly!

PLUS, No Parabens, No Petroleum, No Mineral Oil, No Artificial Colors","A repairing lotion that binds the separated and frayed ends of your hair together so you can skip the trim and keep your length.","Lightly press down on the pump to apply a pea-sized amount to wet or dry hair. Make sure to smooth completely through to the ends. Style as usual. ","NO PARABENS, NO PETROLEUM, NO MINERAL OIL, NO ARTIFICIAL COLORS
Monoi Oil gently conditions your hair all over
Carob Seed Extract binds hair fibers together to seal split ends
Babassu Oil helps strengthen hair's structure from within to prevent future split ends
Water (Aqua), Glycine Soja (Soybean) Oil, Prunus Amygdalus Dulcis, (Sweet Almond) Oil, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Glycerin, Fragrance (Parfum), Polysorbate 60, Agave Tequilana Stem Extract, Ascorbyl Palmitate, Ascorbic Acid, Beeswax, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, Triticum Vulgare (Wheat) Germ Oil, Xanthan Gum, Methylisothiazolinone, Phenoxyethanol","Carol’s Daughters has been known for its natural beauty products for more than 20 years. Each hair, skin and body indulgence collection is infused with rare ingredients that bring out your natural beauty.",Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,500,885553762670,,"Weave,Relaxed Straight Hair ,Braids,Wigs,Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair, Relaxed Straight,Permed Curly ","Split Breakage,Split Breakage","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",25,http://hairlibrary.com/wp-content/uploads/2013/11/MonoiSplitEndSealer.jpg
2151,"DevaCurl No-Poo Zero Lather Conditioning Cleanser Shampoo","DevaCurl No-Poo is the ORIGINAL, best-selling, non-lathering shampoo alternative. Our sulfate free, highly moisturizing cleanser stimulates, hydrates and cleans the scalp and hair to reveal the healthiest, bounciest natural curls. Accept NO imitations!","Most sham-poos contain dehydrating detergents. Replace the ‘poo’ with sulfate-free DevaCurl No-Poo.","Wet curls thoroughly.  Massage a liberal amount between palms and work vigorously throughout hair and scalp.  Rinse well.  For maximum hydration, follow with DevaCurl One Condition. ","Water (Aqua, Eau), Cetyl Alcohol, Glycerin, Isopropyl Palmitate, Behentrimonium Chloride, Polyquaternium-7, Laureth-4, Vitis Vinifera (Grape) Seed Oil, Propylene Glycol, Mentha Piperita (Peppermint) Oil, Triticum Aestivum (Wheat) Peptide, Avena Sativa (Oat) Peptide, Glycine Soja (Soybean) Peptide, Melissa Officinalis Extract, Humulus Lupulus (Hops) Extract, Cymbopogon Schoenanthus Extract, Chamomilla Recutita (Matricaria) Extract, Rosmarinus Officinalis (Rosemary) Extract, Achillea Millefolium Extract, Cocamidopropyl Betaine, Menthol, Citric Acid, Diazolidinyl Urea, Iodopropynyl Butylcarbamate, Fragrance (Parfum)","When the original curly girl and best-selling author Lorraine Massey began creating curl-friendly formulas for her own curls, she discovered two things that turned hair care on its head. First, curly hair needs to be treated differently than other hair textures. Second, sham-“poo” and its dehydrating ingredients is curly hair’s worst enemy.
 
What happened next started a CURL-volution!",Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,500,859413000004,,"Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair,Permed Curly ","Split Breakage,No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",18.95,http://hairlibrary.com/wp-content/uploads/2013/11/Deva-curl-no-poo-shampoo.jpg
2155,"DevaCurl Low-Poo Cleanser","This mild lathering moisturizing cleanser gently restores shiny, healthy curls.","This mild lathering moisturizing cleanser gently restores shiny, healthy curls.","Wet curls thoroughly.  Massage a liberal amount between palms and work vigorously throughout hair and scalp. Rinse well.  For maximum hydration, follow with DevaCurl One Condition.","Water (Aqua, Eau), Cocamidopropyl Betaine, Glycerin, Coco-Betaine, PEG-75 Lanolin,  PEG-40 Hydrogenated Castor Oil, Polyquaternium-7, PEG-7 Glyceryl Cocoate, Hydroxyethylcellulose, Melissa Officinalis Extract, Humulus Lupulus (Hops) Extract, Cymbopogon Schoenanthus Extract, Chamomilla Recutita (Matricaria) Extract, Rosmarinus Officinalis (Rosemary) Extract, Achillea Millefolium Extract, Polyquaternium-10, Propylene Glycol, Aminomethyl Propanol, Diazolidinyl Urea, Iodopropynyl Butylcarbamate,  Fragrance (Parfum)","When the original curly girl and best-selling author Lorraine Massey began creating curl-friendly formulas for her own curls, she discovered two things that turned hair care on its head. First, curly hair needs to be treated differently than other hair textures. Second, sham-“poo” and its dehydrating ingredients is curly hair’s worst enemy. What happened next started a CURL-volution!",Liquid,both,"Naturally Straight",no,500,859413000035,,"Weave,Permed/Texturized Hair,Naturally Curly Hair","Very Short,Short,Medium,Long,Very Long","2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair","No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",27.07,http://hairlibrary.com/wp-content/uploads/2013/11/Devacare-low-poo-cleanaser.jpg
2157,"DevaCare No-Poo","no-fade zero lathering cleanser that gently cleans and hydrates color-treated hair to reveal the healthiest, frizz free curls.","no-fade zero lathering cleanser that gently cleans and hydrates color-treated hair to reveal the healthiest, frizz free curls.","Wet curls thoroughly.  Massage a liberal amount between palms and work vigorously throughout hair and scalp.  Rinse well.  For maximum hydration, follow with DevaCurl One Condition. ","Water (Aqua, Eau), Cetyl Alcohol, Glycerin, Behentrimonium Chloride, Isopropyl Palmitate, Polyquaternium-7, Laureth-4, Propylene Glycol, Vitis Vinifera (Grape) Seed Oil,  Coco-Betaine, Citrus Aurentium Dulcis (Orange) Peel Wax, Citrus Aurentium Dulcis (Orange) Peel Extract, Wheat Amino Acids, Mentha Piperita (Peppermint) Oil, Triticum Aestivum (Wheat) Peptide, Avena Sativa (Oat) Peptide, Glycine Soja (Soybean) Peptide, Melissa Officinalis Extract, Humulus Lupulus (Hops) Extract, Cymbopogon Schoenanthus Extract, Chamomilla Recutita (Matricaria) Extract, Rosmarinus Officinalis (Rosemary) Extract, Achillea Millefolium Extract, Ethylhexyl Methoxycinnamate, Tocopheryl Acetate, Menthol, Ascorbic Acid, Citric Acid, Diazolidinyl Urea, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Red 40 (CI 16035), Yellow 5 (CI 19140)","When the original curly girl and best-selling author Lorraine Massey began creating curl-friendly formulas for her own curls, she discovered two things that turned hair care on its head. First, curly hair needs to be treated differently than other hair textures. Second, sham-“poo” and its dehydrating ingredients is curly hair’s worst enemy. What happened next started a CURL-volution!",Liquid,both,"Naturally Straight",no,500,859413000288,,"Weave,Permed/Texturized Hair,Naturally Curly Hair","Very Short,Short,Medium,Long,Very Long","2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair","No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",18.95,http://hairlibrary.com/wp-content/uploads/2013/11/DEV_CareNoPoo_12oz-900x900.jpg
2159,"DevaCare Low-Poo Cleanser","This no-fade mild lathering cleanser is enriched with Vitamin C to moisturize and enhance color treated curls.","This no-fade mild lathering cleanser is enriched with Vitamin C to moisturize and enhance color treated curls.","Wet curls thoroughly.  Massage a liberal amount between palms and work vigorously throughout hair and scalp. Rinse well.  For maximum hydration, follow with DevaCurl One Condition.","Water (Aqua,Eau), Cocamidopropyl Betaine, Glycerin, Coco-Betaine, Polyquaternium-7, PEG-75 Lanolin,  PEG-40 Hydrogenated Castor Oil, Citrus Aurentium Dulcis (Orange) Peel Extract, Melissa Officinalis Extract, Humulus Lupulus (Hops) Extract, Cymbopogon Schoenanthus Extract, Chamomilla Recutita (Matricaria) Extract, Rosmarinus Officinalis (Rosemary) Extract, Achillea Millefolium Extract, Polyquaternium-10, PEG-7 Glyceryl Cocoate, Hydroxyethylcellulose, Propylene Glycol, Aminomethyl Propanol, Benzophenone-4, Ascorbic Acid, Diazolidinyl Urea, Sodium Benzoate, Potassium Sorbate,  Fragrance (Parfum), Red 40 (CI 16035), Yellow 5 (CI19140)","When the original curly girl and best-selling author Lorraine Massey began creating curl-friendly formulas for her own curls, she discovered two things that turned hair care on its head. First, curly hair needs to be treated differently than other hair textures. Second, sham-“poo” and its dehydrating ingredients is curly hair’s worst enemy. What happened next started a CURL-volution!",Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,500,859413000301,,"Weave,Relaxed Straight Hair ,Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair, Relaxed Straight,Permed Curly ","Oily Scalp,Split Breakage,Split Breakage,No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",18.95,http://hairlibrary.com/wp-content/uploads/2013/11/DEV_CareLowPoo_12oz-900x900.jpg
